url,year_of_pass,Label,Up,Down
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1687_007206&category=dirSer,1687,조대수(趙大壽),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1689_007234&category=dirSer,1689,송징은(宋徵殷),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1690_007312&category=dirSer,1690,목임중(睦林重),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1694_007422&category=dirSer,1694,임수간(任守幹),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1697_007526&category=dirSer,1697,이집(李㙫),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1699_007549&category=dirSer,1699,이정신(李正臣),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1710_007871&category=dirSer,1710,서명균(徐命均),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1725_008418&category=dirSer,1725,민응수(閔應洙),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1727_008539&category=dirSer,1727,남태제(南泰齊),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1740_008994&category=dirSer,1740,서지수(徐志修),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1740_009014&category=dirSer,1740,민백창(閔百昌),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1773_010307&category=dirSer,1773,조진택(趙鎭宅),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1775_010550&category=dirSer,1775,조진관(趙鎭寬),3,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1776_010574&category=dirSer,1776,심염조(沈念祖),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1794_011123&category=dirSer,1794,서준보(徐俊輔),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1829_012320&category=dirSer,1829,서기순(徐耆淳),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1835_012434&category=dirSer,1835,민치문(閔致文),4,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1402_000146&category=dirSer,1402,신장(申檣),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1414_000308&category=dirSer,1414,권제(權踶),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1417_000358&category=dirSer,1417,안치(安致),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1417_000377&category=dirSer,1417,이인손(李仁孫),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1432_000606&category=dirSer,1432,안지귀(安知歸),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1439_000728&category=dirSer,1439,신숙주(申叔舟),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1444_000784&category=dirSer,1444,이극감(李克堪),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1447_000838&category=dirSer,1447,한계희(韓繼禧),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1458_001148&category=dirSer,1458,박미(朴楣),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1462_001262&category=dirSer,1462,성현(成俔),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1466_001325&category=dirSer,1466,안호(安瑚),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1466_001329&category=dirSer,1466,안침(安琛),4,2
